emoji,count,positive_%,neutral_%,negative_%
🆕,9,11.1,55.6,33.3
👿,3,33.3,66.7,0.0
👪,2,100.0,0.0,0.0
🏔,4,25.0,75.0,0.0
🏂,1,0.0,100.0,0.0
🍥,2,100.0,0.0,0.0
🤚,4,50.0,25.0,25.0
👴,4,75.0,25.0,0.0
👵,3,100.0,0.0,0.0
🏫,3,66.7,33.3,0.0
🌄,1,100.0,0.0,0.0
🚑,4,25.0,75.0,0.0
🚓,1,0.0,0.0,100.0
👟,3,0.0,100.0,0.0
🥛,2,0.0,50.0,50.0
👺,1,100.0,0.0,0.0
🐘,8,37.5,37.5,25.0
◽,1,0.0,0.0,100.0
📬,1,0.0,100.0,0.0
🤛,3,100.0,0.0,0.0
🤜,3,100.0,0.0,0.0
🚯,2,50.0,50.0,0.0
🐬,6,16.7,83.3,0.0
🖖,3,66.7,0.0,33.3
🤾,1,0.0,100.0,0.0
🗞,3,0.0,66.7,33.3
📼,1,0.0,100.0,0.0
🚪,1,100.0,0.0,0.0
💲,4,75.0,25.0,0.0
🔎,2,50.0,50.0,0.0
🏇,3,33.3,66.7,0.0
🏐,4,75.0,25.0,0.0
⬜,2,50.0,50.0,0.0
🏦,3,33.3,33.3,33.3
🕯,1,0.0,0.0,100.0
🍦,3,33.3,66.7,0.0
🕸,5,40.0,0.0,60.0
⛅,7,57.1,42.9,0.0
🔰,2,100.0,0.0,0.0
🐤,2,100.0,0.0,0.0
🧜,2,50.0,50.0,0.0
💳,2,0.0,0.0,100.0
🏸,1,100.0,0.0,0.0
